,name,lat,lon,geometry,travel_bus
276,소름요,35.2434287,129.2416312,POINT (129.2416312 35.2434287),기장실버타운
277,소문난 주문진 막국수,35.195948,129.0595761,POINT (129.0595761 35.195948),사직야구장
278,속씨원한대구탕 해운대본점,35.1588219,129.170621,POINT (129.170621 35.1588219),미포.문탠로드입구
279,송도 구름산책로(스카이워크),35.0753572,129.0223137,POINT (129.0223137 35.0753572),신익아파트
280,송도용궁구름다리,35.0642894,129.0138732,POINT (129.0138732 35.0642894),모지포마을
281,송도해안볼레길,35.06731,129.0176327,POINT (129.0176327 35.06731),휴게소
282,송상현광장,35.1651436,129.0669205,POINT (129.0669205 35.1651436),천지탕
283,송정 죽도공원,35.1797209,129.2058301,POINT (129.2058301 35.1797209),송정해수욕장
284,송정3대국밥,35.1555686,129.0585562,POINT (129.0585562 35.1555686),서면역.서면지하상가
285,송정서핑학교,35.1798085,129.2003641,POINT (129.2003641 35.1798085),광어골입구
286,송정역,35.1810537,129.2004153,POINT (129.2004153 35.1810537),송정1단지주공
287,송정집,35.1761715,129.1963552,POINT (129.1963552 35.1761715),KT송정타워
288,송정해수욕장,35.1786125,129.1997133,POINT (129.1997133 35.1786125),광어골입구
289,수국꽃문화축제,35.0560546,129.0889113,POINT (129.0889113 35.0560546),차고지
290,수리조선소길,35.0923594,129.0334742,POINT (129.0334742 35.0923594),대평동
291,수미르공원,35.1006692,129.0383469,POINT (129.0383469 35.1006692),부산항만공사
292,수민이네,35.1606204,129.1910269,POINT (129.1910269 35.1606204),슈퍼앞
293,수변최고돼지국밥 민락본점,35.1567627,129.134279,POINT (129.134279 35.1567627),롯데캐슬아파트
294,수산과학관,35.1922021,129.2232732,POINT (129.2232732 35.1922021),수산과학관 해동용궁사
295,수영 돼지국밥,35.1617501,129.1144528,POINT (129.1144528 35.1617501),수영구보건소
296,수영강상설카약체험장,35.166017,129.1235985,POINT (129.1235985 35.166017),수영현대아파트.민락역
297,수영만 요트경기장,35.160915,129.1405557,POINT (129.1405557 35.160915),요트경기장.경남마리나아파트
298,수영민속예술관,35.1710871,129.1139105,POINT (129.1139105 35.1710871),해운아파트
299,수영사적공원,35.1710871,129.1139105,POINT (129.1139105 35.1710871),해운아파트
300,쉑쉑버거 서면점,35.1529425,129.0595638,POINT (129.0595638 35.1529425),서면한전
301,스시미르네 본점,35.171294,129.1767824,POINT (129.1767824 35.171294),NC백화점.장산역
302,스카이라인루지,35.1943634,129.2202453,POINT (129.2202453 35.1943634),용궁사.국립수산과학원
